dup_id,template,numero_de_ocorrencias
5f7da74f-dca5-4669-83d5-2134ae8e2a55,tput no value for term and no t specified,6551712
93183c2e-90a9-464b-be6e-9a3153ce9e0a,sed can t read temp no such file or directory,687582
77fce6e3-05be-4b2e-9530-6217309a051c,mv cannot stat no such file or directory,687527
e07912c0-d331-42ab-a982-571ba55cde7d,cp cannot stat no such file or directory,669095
580d47dc-1835-4730-905b-dafd272c1711,cp cannot stat no such file or directory,657139
7c013cc3-79cf-4db2-8c9a-75408b1b0ccf,compile failed using,643774
fe8849dc-cf9f-404d-87a2-c833e6610dbb,fail,642958
374a83ab-b560-4de2-b0d2-d28688c85609,cc error unrecognized command line option,355340
0152cb5a-27e8-4965-9e57-cab33f0f1e3c,error each undeclared identifier is reported only once,354032
958f792f-0280-4e95-acb8-f857b095fb9d,error for each function it appears in,354032
83caed2f-f8d1-4206-a2cf-8ba06557a1af,cp cannot stat no such file or directory,339924
fbdb33e4-9a3d-4444-a5c6-33d66fc68d7a,cp cannot stat no such file or directory,335963
496e99f8-98f3-4dab-bd20-51d95487bf76,cp cannot stat no such file or directory,327645
20def278-02ee-4005-857c-f7917569bd64,cp cannot stat no such file or directory,324654
dfef1566-b66d-4239-810a-c43a64e84cc9,cp cannot stat no such file or directory,324533
e2be7072-0497-4d96-8cd7-8a9ebacea0d7,cp cannot stat no such file or directory,315391
2d16fa77-d0c6-4dc4-8177-91ca2a11a2a0,no such file,294168
dafd37fe-662a-4252-a1bb-88345b8baa69,error unable to normalize alternate object path,287181
d3d4741c-19ac-4efe-89c4-ade00adb4431,fatal not a git repository or any parent up to mount point localdisk,257403
f190d574-80db-4838-afac-5e9ed9fd247e,jq error at stdin null null has no keys,255761
36cfa22b-abf7-43b3-8777-52d08627df3a,error syntax error before token,247667
3b8d1436-1421-4c1b-b813-0d523b81cdc8,error gnu compilers before are not supported anymore,214714
10388dee-c920-433d-96bb-035c97d52c77,error requested alignment is not a constant,212518
a736cbee-ecc2-4dc8-9baa-b031c1483160,no such file or directory,192087
1c936a4c-a307-40d1-824f-b2a7cc4050d5,error syntax error before,177029
95b0dcc3-4945-4baa-b9ca-c3ee14ebad7a,make cleartool command not found,175510
84ae38c6-c1bd-4cda-aafc-b0eb60a6f976,error unsupported toolchain,158768
575ceb12-1ebe-4d34-a8e4-4b39a6801f0d,cannot open directory dhcp,142614
0cf7e1b9-b972-41a3-a7e3-d43716f04664,error undeclared first use in this function,141772
20a0d208-1053-49d3-8b44-ac1bbc77935f,error undeclared first use in this function,141522
e1873a25-1b84-4804-ac46-582c7f5da860,error requested alignment is not a constant,141520
65b00300-ca6c-4dad-879c-854096b451d4,cannot open directory grub d,128670
bd1c285b-99d2-4850-a2f5-44b4bc79a577,cp cannot stat no such file or directory,114110
a12606c1-0bd9-466a-bef9-4433b657850e,did not find any package,108720
5229ee54-7fb5-4d70-bae6-a8a6a2486ac9,cp cannot stat no such file or directory,108360
cbc1d963-f4d9-4f9c-8444-4548df3f10a9,cat no such file or directory,107555
72723f97-53a0-4a67-8e9f-1c8945d80f87,cat no such file or directory,107212
9ba0835c-8344-48e3-967a-f46f0e02db8c,error previous declaration here,106199
0d22dca7-6bf6-4fd5-80a0-584cd2d9b9ce,error declaration of c function conflicts with,106199
afa60e2a-f443-4010-864c-6bed8733cfad,error syntax error before,106143
2af671c7-e7ee-4d3f-a226-adffef0a6df5,error previous declaration here,106019
05ed38c6-83e1-49ba-ab66-17cc63c403fa,error declaration of c function conflicts with,106019
d499ce88-cfa7-4e76-988f-adc1df24dcf4,no such file,96699
e419697b-1256-4504-9342-ffa01dac044a,cp cannot stat no such file or directory,91314
f137332b-9588-4b61-873d-8a5f35ccf590,cp cannot stat no such file or directory,90810
38d0c5e1-96c9-4c30-98c9-1676f4771919,cp cannot stat no such file or directory,90810
a98bbaf2-94ca-4003-b065-3a6d7696bc93,cp cannot stat no such file or directory,90810
04f1213c-6897-4f3a-931b-3b045a4440d8,cp cannot stat no such file or directory,90726
1e4d996b-fb02-4da1-89d4-8b77ef6cd5e7,cp cannot stat no such file or directory,90726
e731c950-8627-413b-973d-3108185ffb6b,cp cannot stat no such file or directory,90726
546e84e7-be11-4423-852d-5282cccdfb6c,cp cannot stat no such file or directory,90726
afef27d0-f958-4afa-b1e2-c5cdd4122e1d,cp cannot stat no such file or directory,90726
808478a2-a402-48b7-9fae-e2e0584bc385,cp cannot stat no such file or directory,90726
133e3f38-a9eb-4104-b066-84ba1444dbff,find no such file or directory,89304
a25b6230-93ba-4e51-9559-ca2305f2c053,fatal not a git repository or any of the parent directories git,88869
4a9fd326-fd0b-4723-ad23-de42453273d5,find no such file or directory,88664
18cb64af-03f9-49c7-8162-3838f4dba5c3,find no such file or directory,88664
65508006-ae14-4956-9b49-7777d7b55264,find no such file or directory,88664
199421a7-e5bd-4b4b-92ea-b9b60b52cf04,find no such file or directory,88664
a0d58495-4a55-4b7f-a89d-98c21552054b,find no such file or directory,88664
b15a88f9-7cd3-459a-af63-3781f80f5533,find no such file or directory,88664
1f17380b-1b61-4603-8906-568aa098debc,find no such file or directory,88664
cd20410e-444a-4095-8e67-d258b25c5141,find no such file or directory,88664
92690534-e6c5-45cd-8e4f-7bdcc82cccb4,find no such file or directory,88664
0485da2d-02ad-4b9a-a28b-9c67d5a43ea5,mv cannot stat no such file or directory,88607
5bad97ba-e022-498f-9ba5-d9d3647bb49b,mv cannot stat no such file or directory,88548
a0ae0e70-bc2b-4aae-bed6-39ba8a987efe,mv cannot stat no such file or directory,88548
78d15b62-210f-4124-a4c8-6a2310e2b90a,ccpentium linker input file unused because linking not done,85300
054f06bd-82f5-4c6e-a50e-e6b0433c10c7,rm cannot remove no such file or directory,84674
e66c0096-e8dd-4abf-9ca4-ada0ab429ccf,tput no value for term and no t specified,80177
7ae808c9-1627-43d1-b309-40945b2e925a,line no such file or directory,77302
e64a94a1-55f3-4fe7-ac2f-b20f6bdb72d8,ls cannot access no such file or directory,77047
c705e9c1-51bd-4641-af57-be3f3b6c19b7,ldppc cannot find lvxsnmp,75962
73c3efa8-db9c-4da8-9442-835eef6029e0,fatal not a git repository or any parent up to mount point,75374
651d0c56-1555-4d65-aaa1-06e8c26cef5f,error previous declaration of was here,74182
8a8a386e-8201-4674-8bc2-68a332d5fe0e,error conflicting types for,74104
db20d758-94a5-4a06-8d5d-b181076fce29,ccppc linker input file unused because linking not done,71712
e197df2b-acc1-488c-9a57-b40d192a61aa,no such file or directory,71004
91a89f1b-1ad2-45f5-a94c-ae71b4ac0fb5,no such file or directory,70764
6a1b3be9-eef7-47b6-873c-c05c046acfef,error syntax error before token,70762
5f10f828-50e5-46fa-bc4d-2b4f5fcca40b,error undeclared first use in this function,70761
5054682c-7c1b-4a71-aef3-45892872380e,sed can t read no such file or directory,68389
1a2ba07f-4751-416b-8957-f86665009030,line toolsetup command not found,64571
91087f64-2904-459e-bedd-e577efd88c8c,cp cannot stat no such file or directory,57034
5b0801dc-0378-4d02-a4ea-36df7f061d3b,cp cannot stat no such file or directory,57034
83a18f3a-62a9-4fdd-9226-bcd483ca7119,cp cannot stat no such file or directory,57025
542ea99b-4f73-49d7-936b-602c89b91bd4,cp cannot stat no such file or directory,57004
d0ee4711-0387-4e44-9174-1150d57b5996,cp cannot stat no such file or directory,56998
b1257a2b-749f-4f44-b695-469921341893,cp cannot stat no such file or directory,56995
d4cb7508-2948-4f38-bb70-a7fd16c29893,cp cannot stat no such file or directory,56989
cd70ca7f-eb2e-419b-8704-e8eee2b7b51c,cp cannot stat no such file or directory,56968
a48e27e6-1929-4ad5-9d7b-267e43218bde,cccp invalid option,56909
2329380d-6964-4867-8aa3-9a8f3698280b,cp cannot stat no such file or directory,56580
dda83c06-ae0b-4a7b-ba92-246453f2000c,error declaration of c function conflicts with,55697
db5915dd-c208-4d97-b997-530a5359cbef,error previous declaration here,55697
4681dbac-13f7-4802-b2c9-744d896c6683,error previous declaration here,55609
b48bc917-660b-4a3e-9637-47730d7d7d03,error declaration of c function conflicts with,55609
33726088-2885-4c08-b998-851261b5ff3d,command failed error code proceeding,55155
1814d170-4be5-45c8-a56f-6247ee5b8a8e,cat no such file or directory,54603
e80d7c2c-1bd4-4e91-8742-8b4b6f6f040c,cp cannot stat no such file or directory,53725
ed2426fd-fe62-485a-9af7-d1bf9b98659a,cp cannot stat no such file or directory,53687
bf55a275-5271-40cf-81f0-0f5b8f4de9f6,cp cannot stat no such file or directory,53687
ac0ce2f2-de6e-469c-a158-344e332464cf,cp cannot stat no such file or directory,53687
aec08fc7-fb88-4ed9-9e95-332be82ddf38,cp cannot stat no such file or directory,53687
7135c0d4-b942-42fc-8143-0242fb1e2167,cp cannot stat no such file or directory,53613
4d50c62d-d8d2-47ea-a645-0b171d0c3c2c,file line column aid reference not found ccmd x slots,53192
7540b832-87f3-4e49-b531-0ac8f324cd1e,command failed error code proceeding,53139
1cd08d8e-0a1c-4364-99f6-aafd1f4f9c75,line cleartool command not found,52171
8dc64b69-2046-4412-8007-c50e550efc5c,invalid suffix on integer constant,51800
90714284-5ca4-4bf9-884c-01aeaef6c91f,find permission denied,51683
b5e9401c-e360-47e0-a8fa-83a04474b82c,awk symbol lookup error awk undefined symbol,51012
ced11534-9c02-4fd8-942d-eea9f3b143f2,error no match for in,50911
9f5ae2a6-fced-4b4c-a41a-b962f00f3209,cp cannot stat no such file or directory,50786
ff81e1a3-aa29-4ea4-a54f-dc43c1d15fc5,invalid suffix on integer constant,48650
357a1eb2-874f-48c7-80ff-2f8f971a5d7b,typeerror a bytes like object is required not,48359
c2e851c5-60c9-48a6-ac96-182af86a0578,line toolsetup command not found,45478
63d3b1e7-ce87-4c02-a96d-26ed28b16cec,error conflicting types for,42382
fffaf1aa-214f-4c86-bccd-00e541085c3f,error previous definition of was here,42258
f48365b9-8687-4710-acac-1560b8461a60,cp cannot stat no such file or directory,42164
72ccac28-5ff5-4593-a7f1-388b91b90309,find no such file or directory,39204
96287d40-ad71-4cde-a916-696cff6e7daa,find no such file or directory,39164
4561be3b-b38e-4cb8-86d2-09cc4f21ca17,find no such file or directory,39164
7311e1f6-7367-4a46-b5f0-d3b7a0d0436a,find no such file or directory,39164
8d92a313-20f2-476b-b020-be17d08b5d5d,find no such file or directory,39144
f474768e-fe5f-4a3b-9d95-831e1621e5f1,find no such file or directory,39144
cf1d2216-48d3-47cb-8cd5-eee5be59066e,cp cannot stat no such file or directory,36967
a88b1374-4dd6-44e1-8529-73879ebc140b,cp cannot stat no such file or directory,35843
c97dfdf3-6c1a-4049-bac3-551e25566bf1,error syntax error before token,35721
5016e3e6-1a50-4d5b-b1b7-8d92c624db72,error syntax error before,35601
bfe4c595-f3ee-494a-ae8f-e6e0b1ab4d32,no such file or directory,35382
d2ea7f01-8f87-49b0-a5d4-04144c39e27c,no such file or directory,35382
e64aa369-f318-48d6-9d54-d5a331923570,no such file or directory,35382
c9602385-c2b7-4868-a243-fc29e0f2b866,no such file or directory,35382
258ba113-a242-435d-931f-0a9b1083271d,no such file or directory,35382
e000f6da-5aa9-406f-949f-8b7470ba726e,no such file or directory,35382
4d2bbfc2-c289-4cfa-a3ef-11935c1ad4fb,error syntax error before,35381
c3615170-d580-49b2-83ce-ccb407db1a6d,command failed error code proceeding,34558
a892f2ff-c24a-4a9d-8b38-50c1543c6a96,error unable to normalize alternate object path,32428
2b238cf8-2635-4598-b437-450caafd3828,file line column aid reference not found in,32269
88cbb892-e81a-41c4-b8a7-49d27e7cb7f7,genboundsdata command not found,30633
a91b04bd-025c-4ae3-bfae-d533e2e07ea4,cp cannot stat no such file or directory,28762
4b402c84-0d21-460b-91e4-20216e1afa6c,fatal no such path in head,28171
a3ed1be3-4bef-44a2-bcbe-ed34e1b13488,find no such file or directory,27868
a9cb3925-9b54-4b1a-a7f6-259267ed091c,cp cannot stat no such file or directory,27831
4cdb3fd4-37c6-468f-94ae-5788adb24859,file line column aid reference not found ccmd x slots,26336
4fe52884-7300-433b-895e-d098cf6be00b,find no such file or directory,26002
dee4adac-a900-42c1-b84b-4aaa861ef1d7,no such file,25927
60e2637c-d54b-447e-b3e5-94cd5108e06b,cp cannot stat no such file or directory,25818
24aaa44a-0c76-452e-bde4-2d09bdadb20c,invalid suffix on integer constant,25590
599b9f69-8999-457f-b0e9-0ee51f4f7dc3,error no match for in,25427
54e5f034-d390-4f85-9764-a03108f74906,copy from artifactory failed going to wrap and retry,24524
3a3874b6-7762-4b4a-bfa7-22bfef5c92db,cp cannot stat no such file or directory,23886
107325ad-6bde-4492-b7f6-4d5a2dfb0c7c,no input files,23722
459a311e-9a2a-4663-99a6-f0a3ae29d2a8,error python version is not available,23716
48b7026b-b23b-41b7-99d3-1db9e7f15fe4,cp cannot stat no such file or directory,23398
e3ba2459-e565-44fe-9caf-b707a8d12500,no such file,23015
826fd188-bc66-464d-92f7-d7650a8e4f00,command failed error code proceeding,22669
825c654c-0f38-4c2c-837d-45676944ab43,cp cannot stat no such file or directory,22500
eb1aaf86-e342-4701-a024-2b7bd4e24985,mkdir cannot create directory file exists,22060
17195a2f-fa8e-4bdf-b049-1e7aea729ce9,cc no such file or directory,21859
2836ca57-96b6-4ddd-85fd-765cc2240ba2,cp cannot stat no such file or directory,21291
e240a3e3-cfe5-472e-a829-06d2ee9f74ba,cp cannot stat no such file or directory,20922
9b6f09da-9582-44c7-9752-fac4f8181385,ldppc cannot find lflxembedded,20632
9f290f54-644e-45fe-af64-fd936c6c7366,ldppc cannot find lflxhaladapter,20632
70d82de5-598a-48b7-9b2d-b91ef1754d87,libexpat a file format not recognized,20443
d6a46f79-588c-441e-9c83-b290552454d8,error subprocess error for bat command,19753
09bcd6de-f09e-45ed-ba11-ee24e4edf284,line toolsetup command not found,19696
caa63fd4-2d58-4e12-8390-5c1dd7ba5c7d,cp cannot stat no such file or directory,19589
2cd0b5e8-1b84-459a-aa90-62d54418dcc1,invalid suffix on integer constant,19365
842937d5-4b6c-40eb-883b-b68e2132a9b8,cp r not specified omitting directory,19208
7de10116-d500-4107-8102-164c2db9787b,command failed error code proceeding,18949
61fa3394-e7b5-455c-be99-e19308aaa4d5,cp cannot stat no such file or directory,18740
dc765dd3-0f31-43ea-b656-3c0aa2ce0f98,cp cannot stat no such file or directory,18226
980d27bb-5778-4cc6-a459-0272d5bcfd83,error total count of warnings has increased when compared,18160
20c1ceb1-e196-4dcd-aa44-88123db81fc3,cp cannot stat no such file or directory,16500
cf5599fa-9bc8-4252-8d45-6cdb4677172d,jq error at stdin null null has no keys,16284
5bc1cb2b-39e9-4622-9528-051e1f4874d6,command failed error code proceeding,16248
6f778827-9639-44d9-9f62-808f128bdefa,find docker permission denied,16171
6bb95a40-b521-4a73-a737-79bfb0acb591,fatal bad object head,15856
95364d27-114b-4017-97c0-76f479784cf1,valueerror jira not promoted because built in expecting,15757
5a7f9b23-32ff-4532-aae1-ff9faf8dfa57,cp cannot stat no such file or directory,15420
2300451c-2fa6-400e-ac28-8b4bcd09d0d0,symbol lookup error undefined symbol,15304
b17aba63-f78a-418c-ad63-7f3609313ad7,cp cannot stat no such file or directory,15260
31995569-fd09-42c6-a565-6d6de88ed8e9,find no such file or directory,15241
85339d40-3c02-4ed4-96e4-48413dfbe8a4,cp cannot stat no such file or directory,15238
eb38e799-f4cb-41fb-834d-cd0c0015cd20,cp cannot stat no such file or directory,15124
605e6310-c2f9-4970-847c-da263f1e47ef,fatal no such path in head,15096
032b7a68-36d8-4a9d-8a71-8a894293a903,invalid suffix on integer constant,15079
2f01bc35-5564-41c7-9874-077d7f2b223c,command failed error code proceeding,14755
e8dd8c18-3e85-4c7f-ab6b-18c4cbad9afc,cp cannot stat no such file or directory,14750
df9447cf-8d08-40e1-9022-69cd55f54576,cp cannot stat no such file or directory,14714
6ac90f82-10d3-4262-aa41-16dc47d85b84,no such file,14256
a44b50a0-9a48-4530-812a-eb45f4042821,cp cannot stat no such file or directory,14206
1faa6a66-7499-4d99-845c-1312f9eed298,cp cannot stat no such file or directory,14164
9010546b-41b4-47c4-ab3b-9565c6def908,no such file,14144
028c2565-6d3e-4ba1-b14a-229e348cedfa,cp cannot stat no such file or directory,13740
