template,numero_de_ocorrencias
cp cannot stat no such file or directory,7937761
tput no value for term and no t specified,6632241
find no such file or directory,1197571
mv cannot stat no such file or directory,953335
sed can t read temp no such file or directory,687583
compile failed using,643305
fail,643098
no such file,595773
no such file or directory,571825
command failed error code proceeding,394158
fatal no such path in head,385415
error undeclared first use in this function,355903
cc error unrecognized command line option,355102
error each undeclared identifier is reported only once,353967
error for each function it appears in,353967
error syntax error before,353945
error syntax error before token,353929
error requested alignment is not a constant,353800
error unable to normalize alternate object path,324461
error previous declaration here,323260
error declaration of c function conflicts with,323260
cat no such file or directory,294449
jq error at stdin null null has no keys,279093
fatal not a git repository or any parent up to mount point localdisk,257404
error gnu compilers before are not supported anymore,214546
make cleartool command not found,185185
invalid suffix on integer constant,160499
error unsupported toolchain,158642
line toolsetup command not found,148148
rm cannot remove no such file or directory,144478
cannot open directory dhcp,143812
cannot open directory grub d,129765
error conflicting types for,122749
did not find any package,109405
fatal not a git repository or any of the parent directories git,95510
ls cannot access no such file or directory,90133
sed can t read no such file or directory,85485
ccpentium linker input file unused because linking not done,85301
line no such file or directory,85235
fatal not a git repository or any parent up to mount point,82417
error no match for in,76283
ldppc cannot find lvxsnmp,75971
error previous declaration of was here,74135
ccppc linker input file unused because linking not done,71733
file line column aid reference not found ccmd x slots,65842
cccp invalid option,56907
line cleartool command not found,52184
find permission denied,51648
awk symbol lookup error awk undefined symbol,50970
typeerror a bytes like object is required not,49815
error previous definition of was here,42419
error job type name had an exception,39212
error enumerator value for not integer constant,35846
file line column aid reference not found in,32629
genboundsdata command not found,30644
cp cannot copy cyclic symbolic link,28931
make error,26616
no input files,24957
copy from artifactory failed going to wrap and retry,24525
libexpat a file format not recognized,23772
error python version is not available,23713
mkdir cannot create directory file exists,22064
cc no such file or directory,21838
cp r not specified omitting directory,21646
error was not declared in this scope,20765
ldppc cannot find lflxembedded,20633
ldppc cannot find lflxhaladapter,20633
error subprocess error for bat command,19753
error total count of warnings has increased when compared,18173
valueerror jira not promoted because built in expecting,18045
fatal bad object head,16721
find docker permission denied,16171
symbol lookup error undefined symbol,15293
critical root uncaught exception type,13721
file line column aid reference not found ccmd x,13170
subprocess calledprocesserror command returned non zero exit status,12266
nmpentium command not found,11715
calledprocesserror command returned non zero exit status,11714
command returned non zero exit status,11501
makefile recipe for target failed,11152
exiting due to error,10999
error make failed with error code skipping postbuild step,10640
exiting due to make error,10638
error copera job operators build bat executor subprocess error for bat command,10507
sed can t read sed no such file or directory,10414
ldppc bfd assertion fail,10394
sed can t read vxtcommonsima d no such file or directory,10359
error failed,7223
dup cp cannot stat no such file or directory,7085
recipe for target failed,6809
line u binary operator expected,6748
cannot open directory sudoers d,6616
error job type name had an exception but will retry runjob after cleaning the agent shortly,6513
error previous implicit declaration of was here,6317
error no repo found,6297
note recipe task failed,6243
error logfile of failure stored in,6079
error runjob on failed on hostname will try again after cleaning up the agent,5934
error task failed with exit code,5592
attributeerror type object has no attribute,5481
make no rule to make target needed by stop,5395
error autoconf version is not available,5218
error automake version is not available,5218
error fakeroot version is not available,5218
error bison version is not available,5218
ldppc cannot find lflxcryptostandalone,5159
ldppc cannot find lsnmpdvx ppc,5159
ldppc cannot find lappweb,5159
ldppc cannot find lflxsignaturersa,5159
ldppc cannot find lstlport,5159
error libtool version is not available,5097
error calling startservicebyname for org freedesktop notifications timeout was reached,5022
cp cannot stat too many levels of symbolic links,4970
error executionerror none none,4848
tools bin not present adding it,4836
loadable modules are not supported,4720
omedockershell py exit from os system docker exitcode,4442
omedockershell py exit from docker exitcode,4442
the stack trace of python calls that resulted in this exception failure was,4425
fatal error terminated signal terminated program cc,4288
exception bb fetch malformedurl the url is invalid and cannot be interpreted,4257
importerror cannot import name testwarningcheck,4246
summary there were error messages returning a non zero exit code,4158
error job type name ctm had an exception,4043
couldn t find a latest folder to hardlink with,3840
cannot open directory root,3748
error has no member named,3492
build fail,3210
failed in branch,3170
ioerror no such file or directory u,3037
jiraerror jiraerror http url,2838
error error executing a python function in code,2729
error node block appears to be neither running nor scheduled will cancel if this condition persists,2704
valueerror jira not promoted because built in,2526
line cd no such file or directory,2391
line permission denied,2371
not a directory,2352
file format not recognized,2325
summary task failed,2170
attribute not found in hdcarddatazip model,2167
attribute not found in omecarddatazip model,2167
attribute not found in xml yang model,2158
error object directory does not exist check,2126
attribute not found in plugfw model,2083
ccpentium command not found,2075
error module not found in search path,2054
sh no such file or directory,2005
error ome jobs held back on coverity cov due to docker image see sdo,1969
echo error ome jobs held back on coverity cov due to docker image see sdo,1969
attribute not found in glibc model,1956
file line column aid reference not found dra slots,1948
file line column aid reference not found cmd slots,1948
file line column aid reference not found ccmd slots,1948
file line column aid reference not found cmd,1942
make error ignored,1899
make stopped on errors,1883
error parsing halted due to errors see error messages above,1814
attributeerror object has no attribute,1784
line return can only from a function or sourced script,1782
brokenpipeerror broken pipe,1774
error generated,1740
no packet yang file found unexpected exiting,1716
copy folder failed,1686
fatal not a git repository,1660
fatal error file not found,1622
echo error pots held back on coverity cov due to docker image see sdo,1592
error pots held back on coverity cov due to docker image see sdo,1592
parsing recipes error error executing a python function in code,1583
fatal error killed signal terminated program cc,1572
file line column aid reference not found dla slots,1564
exception failed to execute gating sanity,1556
error unable to download package from artifactory,1504
head is now at pull request fix redundant error output,1495
failed to execute gating sanity,1485
error in stage of the build,1463
bash no such file or directory,1436
error failed to parse yang,1377
head is now at f fixed configure error for rhat,1331
head is now at cb d fixed linker error of incompatible with powerpc common output for bit toolchain when compiling application,1331
head is now at a da fixed the incorrect format linker error for bit toolchain when compiling bit abi by adding the cflags to the linking command,1331
error no such file or directory,1308
permission denied please try again,1296
error expected or before,1276
find not a directory,1254
modulenotfounderror no module named,1230
file line column aid reference not found wss slots,1176
file line column aid reference not found cmda slots,1176
file line column aid reference not found gmd,1176
file line column aid reference not found dosc,1176
file line column aid reference not found uosc,1176
cp cannot stat not a directory,1174
exception creating new tools metrics record,1113
dup exception creating new tools metrics record,1112
content n next headers server nginx date thu oct gmt content type application json content length connection keep alive keep alive raw url encoding utf history reason bad request cookies elapsed request connection,1110
sed couldn t write items to stdout broken pipe,1050
psycopg operationalerror connection to server at port failed fatal too many connections for role,1046
valueerror could not promote jira state is currently,985
error request for member in something not a structure or union,970
file line column aid reference not found cmdaandnone,970
applying fix zephyr compile fail,946
importerror no module named builtins,936
error unknown type name,933
urllib error httperror http error,920
directory not empty,902
error call to undeclared function iso c and later do not support implicit function declarations,892
cannot open directory,882
dockershell py exit from docker exitcode,862
dockershell py exit from os system docker exitcode,862
error failed to upload target to artifactory,857
zip error nothing to do,835
dup find no such file or directory,816
response text,806
keyerror,795
jq error could not open file no such file or directory,753
summary there was error message shown returning a non zero exit code,750
error was not declared in this scope did you mean,747
clang error optimization flag is not supported,736
failed to commit coverity defects,730
exiting from with returncode,727
line command not found,712
error undeclared first use in this function did you mean,709
dup mv cannot stat no such file or directory,705
attribute not found in ctmp model,700
bad request plan bad request failed to process data,700
cut write error broken pipe,686
summary there was error message returning a non zero exit code,664
error runjob on failed on hostname check copera build log for details,662
undefined reference to,649
bifrost build permission denied publickey gssapi keyex gssapi with mic password,648
error undeclared here not in a function,647
fatal empty ident name for build on uno rls vcpu gb ciena cloud not allowed,646
removing docker permission denied,644
summary tasks failed,643
failed to sync checking repo manifests,641
fatal unable to read tree,637
ldppc section vma x e overlaps previous sections,633
error templates must have c linkage,620
error no template named,620
error no module with the namespace is imported,604
error sstate cannot test file r timeout,601
error failed due to earlier errors,593
error output file is not writable,592
error oe core s config sanity checker detected a potential misconfiguration,587
either fix the cause of this error or at your own risk disable the checker see sanity conf,587
file line column aid reference not found dla,586
error fetcher failure unable to find file file core bifrost linux r core downloadfilename core bifrost linux r core anywhere the paths that were searched were,565
