arquivo,make,compile,linker,error
part_0.json,18,0,140,167
part_1.json,14,0,140,229
part_10.json,106,60,0,331
part_100.json,85,234,48,1513
part_1000.json,46,310,48,2549
part_1001.json,76,308,48,1666
part_1002.json,71,290,48,1589
part_1003.json,76,294,48,1625
part_1004.json,76,300,48,1600
part_1005.json,76,294,48,1620
part_1006.json,75,290,24,1613
part_1007.json,76,229,48,1106
part_1008.json,64,310,48,1846
part_1009.json,56,308,48,2383
part_101.json,89,244,48,1537
part_1010.json,71,310,48,1633
part_1011.json,76,274,48,1595
part_1012.json,76,308,48,1689
part_1013.json,75,293,48,1633
part_1014.json,76,289,24,1651
part_1015.json,76,233,48,1130
part_1016.json,54,310,48,1705
part_1017.json,66,308,48,2579
part_1018.json,71,309,48,1647
part_1019.json,76,275,48,1619
part_102.json,115,225,48,1497
part_1020.json,76,307,48,1690
part_1021.json,75,294,48,1650
part_1022.json,76,287,24,1644
part_1023.json,76,235,48,1123
part_1024.json,46,310,50,1718
part_1025.json,74,300,48,1669
part_1026.json,71,308,48,1663
part_1027.json,82,294,48,2364
part_1028.json,76,294,48,1907
part_1029.json,75,289,24,1632
part_103.json,88,307,72,2535
part_1030.json,76,230,48,1116
part_1031.json,62,310,48,1689
part_1032.json,58,308,48,1693
part_1033.json,71,310,48,1655
part_1034.json,173,516,0,3515
part_1035.json,110,316,24,1871
part_1036.json,52,310,48,1691
part_1037.json,71,308,48,1651
part_1038.json,76,282,48,1605
part_1039.json,118,292,24,1789
part_104.json,85,232,48,1803
part_1040.json,76,240,48,1154
part_1041.json,44,310,48,1825
part_1042.json,76,308,48,2465
part_1043.json,71,297,48,2417
part_1044.json,76,287,48,1765
part_1045.json,76,303,48,1688
part_1046.json,75,286,24,1632
part_1047.json,76,254,48,1346
part_1048.json,76,280,48,1483
part_1049.json,46,310,48,1713
part_105.json,89,245,48,1631
part_1050.json,76,308,48,1701
part_1051.json,71,288,48,2386
part_1052.json,76,294,48,1774
part_1053.json,76,302,48,1680
part_1054.json,75,287,24,1641
part_1055.json,76,224,48,1095
part_1056.json,68,310,48,2573
part_1057.json,52,310,48,1802
part_1058.json,71,308,48,2447
